"序号","思想轴","来源","年份","类型","底层思想","可转化变量","对CTAS价值","是否非AIGC/非Diffusion","质量判断","来源链接"
"18","预测编码","Friston, The Free-Energy Principle","2010","综述/理论","认知系统倾向于降低预测误差和自由能","free_energy;prediction;uncertainty_reduction","给 surprise 与 cognitive mastery 提供底层计算框架","是","基础理论","https://www.nature.com/articles/nrn2787"
"19","预测编码","Clark, Whatever Next? Predictive Brains, Situated Agents","2013","论文","大脑是预测机器，知觉是预测和误差修正过程","predictive_processing;top_down_expectation;perceptual_inference","支持 reference/prompt 作为 top-down expectation 的理论解释","是","认知理论核心","https://doi.org/10.1017/S0140525X12000477"
"20","信息论美学","Schmidhuber, Driven by Compression Progress","2008","论文","有趣、惊喜、美、好奇来自观察者内部压缩能力的进步","compression_progress;interestingness;learnability;surprise","把“有趣/打动人”建成可学习但不完全随机的变量","是","底层思想很强","https://arxiv.org/abs/0812.4360"
"21","信息论美学","Schmidhuber, Formal Theory of Creativity, Fun, and Intrinsic Motivation","2010","论文/理论","创造性和乐趣来自学习进步和内在动机","intrinsic_motivation;learning_progress;curiosity","解释 CTAS 为什么应追求可吸收的新信息，而非单纯漂亮","是","计算理论强","https://dblp.org/rec/journals/tamd/Schmidhuber10"
"22","信息论美学","Galanter, Computational Aesthetic Evaluation","2012","理论/计算美学","计算美学需同时考虑复杂度、秩序和人类评价","computational_aesthetics;complexity;human_judgment","提醒 PCA-B0 不应只相信自动分数","是","相关理论","https://doi.org/10.1162/LEON_a_00350"
"23","神经美学","Ramachandran and Hirstein, The Science of Art","1999","论文","提出峰值转移、分组、对比、隔离等艺术经验机制","peak_shift;grouping;contrast;isolation","解释风格化为什么可能增强主体特征，也可能过度扭曲主体","是","有趣且底层","https://philpapers.org/rec/RAMTSO-5"
"24","神经美学","Chatterjee and Vartanian, Neuroaesthetics","2014","综述","审美体验涉及感知-运动、情绪-价值、语义-知识三元系统","aesthetic_triad;sensory_motor;emotion_valuation;semantic_knowledge","给 CTAS 三层系统提供神经美学映射","是","权威综述","https://pubmed.ncbi.nlm.nih.gov/24768244/"
"25","神经美学","Pearce et al., Neuroaesthetics: The Cognitive Neuroscience of Aesthetic Experience","2016","综述","整合视觉审美的认知神经科学机制","reward;attention;expertise;context","补充人类审美不只是视觉质量，也受知识和语境调节","是","综述价值高","https://pubmed.ncbi.nlm.nih.gov/26993278/"
"26","情感计算","Picard, Affective Computing","1997","书/领域源头","计算系统可以识别、表达和响应情感","affective_state;emotion_recognition;human_computer_affect","为 emotion/memory activation 的可计算性提供领域源头","是","领域源头","https://mitpress.mit.edu/9780262161701/affective-computing/"
"27","情感计算","Russell, A Circumplex Model of Affect","1980","论文","情感可由 valence 与 arousal 组织成二维结构","valence;arousal;core_affect","把情绪标签拆成可测连续变量","是","经典高影响","https://cir.nii.ac.jp/crid/1364233270668322432"
"28","情感计算","Bradley and Lang, Self-Assessment Manikin","1994","量表/方法","用非语言图形量表测 valence、arousal、dominance","valence;arousal;dominance;SAM","可直接进入 PCA-B0 human mini study 问卷设计","是","方法实用","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0148037"
"29","情感计算","Lang, Bradley, Cuthbert, International Affective Picture System","1997","数据/方法","用标准图片诱发并标注情绪维度","affective_norms;valence;arousal;dominance","给 OASIS/IAPS 类心理学数据提供方法根基","是","心理学经典","https://csea.phhp.ufl.edu/media.html"
"30","情感计算","Damasio, Somatic Marker Hypothesis","1996","论文/神经心理理论","情绪和身体状态会引导判断与决策","somatic_marker;body_state;decision_bias","解释为什么“打动人”不是纯视觉评分，而包含身体化评价","是","底层思想强","https://pubmed.ncbi.nlm.nih.gov/8941953/"
"31","个人记忆","Conway and Pleydell-Pearce, Self-Memory System","2000","论文/记忆模型","自传体记忆是 working self 与 autobiographical knowledge base 的动态构造","autobiographical_memory;self_relevance;life_period;event_specific_knowledge","把 personal memory activation 与自我相关线索连接起来","是","核心理论","https://research-information.bris.ac.uk/en/publications/the-construction-of-autobiographical-memories-in-the-self-memory-"
"32","个人记忆","Tulving, Episodic and Semantic Memory","1972","理论/记忆分类","区分 episodic memory 与 semantic memory","episodic_memory;semantic_memory;autonoetic_consciousness","解释个人记忆线索与一般知识/文化语义的区别","是","经典源头","https://psycnet.apa.org/record/1974-04395-001"
"33","个人记忆","Rubin, Schrauf, Greenberg, Belief and Recollection of Autobiographical Memories","2003","论文","自传体记忆包含信念、重构和感官/情绪成分","recollection;belief;vividness;emotion","提示 human study 应问解释和触发线索，而不是只问喜欢","是","记忆机制强","https://doi.org/10.3758/BF03196443"
"34","个人记忆","Wildschut et al., Nostalgia: Content, Triggers, Functions","2006","论文","怀旧由自传体记忆触发，具有社会联结和自我连续性功能","nostalgia;self_continuity;social_connectedness;trigger","把怀旧从风格词变成可问卷化变量","是","核心怀旧理论","https://doi.org/10.1037/0022-3514.91.5.975"
"35","个人记忆","Batcho, Nostalgia Inventory","1995","量表/心理学","怀旧倾向可以被量表测量，不同人差异明显","nostalgia_proneness;personal_difference","提醒 Personal Memory MiniSet 需要记录个体差异","是","测量有用","https://doi.org/10.1037/t01372-000"
"36","个人记忆","Isola et al., What Makes an Image Memorable?","2011","论文/数据","图像 memorability 有可预测性且跨人较稳定","memorability;image_level_memory;recognition","作为 memorability proxy 源头，但不能等同个人回忆","是","经典数据源","https://web.mit.edu/phillipi/www/publications/WhatMakesAnImageMemorable.pdf"
"37","个人记忆","Khosla et al., Understanding and Predicting Image Memorability at a Large Scale","2015","论文/数据","LaMem 扩展大规模图像记忆性预测","memorability_score;image_features;deep_model","提供 memory proxy，但需与 personal memory 明确区分","是","核心数据源","https://people.csail.mit.edu/khosla/papers/iccv2015_khosla.pdf"
"38","个人记忆","THINGS Initiative","2019","数据/认知资源","系统化对象概念图像，支持相似性、记忆、脑成像等扩展","object_concept;semantic_memory;similarity;recognition","把物件记忆、概念记忆和图像生成任务连接起来","是","高质量认知资源","https://things-initiative.org/"
"39","文化/符号","Arnheim, Art and Visual Perception","1954/1974","书/格式塔心理学","视觉组织、平衡、张力和结构是审美理解的核心","gestalt;balance;tension;visual_structure","给构图和主体结构 gate 提供非 AI 理论来源","是","艺术心理经典","https://www.ucpress.edu/books/art-and-visual-perception-second-edition/paper"
"40","文化/符号","Gombrich, Art and Illusion","1960","书/艺术史与知觉","图像再现依赖 schema、修正和观看者心理经验","schema;representation;illusion;viewer_expectation","解释为什么 reference 不是复制模板，而是价值锚点和图式","是","艺术史经典","https://mitpressbookstore.mit.edu/book/9780691070001"
"41","文化/符号","Panofsky, Studies in Iconology","1939","书/图像学","图像意义有前图像、图像志和图像学层级","iconography;iconology;symbolic_meaning;cultural_code","支持文化记忆和物件符号不应只用视觉相似度判断","是","人文学经典","https://www.finestresullarte.info/en/books/studies-in-iconology-by-erwin-panofsky"
"42","文化/符号","Barthes, Rhetoric of the Image","1964","论文/符号学","图像通过 denotation、connotation、anchorage 传递意义","denotation;connotation;anchorage;visual_rhetoric","解释 prompt/text 如何锚定图像意义和记忆联想","是","符号学经典","https://www.degruyter.com/document/doi/10.1515/9781474471809-006/html"
"43","文化/符号","Goodman, Languages of Art","1968","书/符号系统","艺术是符号系统，表示和例示不等于简单相似","symbol_system;exemplification;reference","帮助区分 reference similarity 与 symbolic reference","是","哲学美学核心","https://www.hup.harvard.edu/books/9780915144341"
"44","设计/日常物","Norman, Emotional Design","2004","书/设计心理学","产品/视觉体验有 visceral、behavioral、reflective 三层情感","visceral;behavioral;reflective;emotional_design","把图像的即时美感、可理解性和反思性记忆分层","是","设计理论实用","https://www.basicbooks.com/titles/don-norman/emotional-design/9780465051366/"
"45","设计/日常物","Gibson, The Ecological Approach to Visual Perception","1979","书/生态知觉","知觉直接面向环境中的 affordances","affordance;environment;action_possibility","解释日常物件为什么能触发身体经验和记忆","是","知觉理论核心","https://www.routledge.com/The-Ecological-Approach-to-Visual-Perception/Gibson/p/book/9781848725782"
"46","设计/日常物","Barsalou, Perceptual Symbol Systems","1999","论文/认知理论","概念知识部分来自感知模拟和情境化再激活","perceptual_symbol;simulation;embodied_concept","解释物件、场景、材质为什么能激活记忆，而不只是被分类","是","认知理论强","https://doi.org/10.1017/S0140525X99002149"
