"序号","能力轴","SOTA类型","论文/方法/数据","证据来源","为什么是SOTA","保留理由","来源链接"
"21","情绪激活","情绪语言SOTA","ArtEmis","项目页 + CVPR/CoRR paper","80K artworks、455K emotion attributions and explanations，连接视觉、情绪、语言解释","提供情绪解释而不只是分类标签","https://artemisdataset.org/"
"22","情绪激活","大规模情绪数据SOTA","EmoSet","ICCV 2023 + 项目页","3.3M 图像、118,102 人工标注，含亮度、色彩、场景、对象、表情、动作等属性","作为 emotion proxy 和解释性属性来源","https://vcc.tech/EmoSet"
"23","情绪激活","零样本工具候选","EmotionCLIP / CLIP emotion prompts","论文/社区实现","可低成本把 emotion words 映射到图像 embedding","第一批用作轻量 scorer，后续用 EmoSet 校准","https://github.com/ovshake/EmotionCLIP"
"24","情绪激活","心理学数据候选","OASIS / IAPS","心理学标准化图片集","valence/arousal 标签可靠，但规模和许可限制明显","作为术语和维度参考，不进训练核心","https://www.benedekkurdi.com/#oasis"
"25","情绪激活","跨文化情感候选","VSO / MVSO","项目页/论文","用 adjective-noun pairs 连接视觉概念和情感，含多语言扩展","用于中文/文化情绪词库，不当主数据集","https://mcrlab.net/research/mvso/"
"26","记忆激活","经典数据SOTA","LaMem / MemNet","MIT/CSAIL 项目与论文","约 60K 图像 memorability 数据，MemNet 是经典可记忆性模型","作为 memory proxy 源头，不等同个人记忆","http://memorability.csail.mit.edu/"
"27","记忆激活","对象认知SOTA","THINGS / THINGS memorability","官方 THINGS initiative","1,854 概念、26,107 图像，并有 memorability、similarity、EEG/fMRI 等扩展","最适合连接对象概念、认知表征和记忆线索","https://things-initiative.org/"
"28","记忆激活","现代模型候选","PerceptCLIP-Memorability","Hugging Face model card / arXiv 2503.13260","基于 CLIP+LoRA 的现代 memorability predictor，声称 SOTA","二轮核验后可替代旧 MemNet 环境","https://huggingface.co/PerceptCLIP/PerceptCLIP_Memorability"
"29","记忆激活","现代模型候选","ViTMem","arXiv 2301.08647","用 ViT 做 image memorability prediction","作为现代视觉 backbone 对照","https://arxiv.org/abs/2301.08647"
"30","记忆激活","个人闭环数据","Personal Memory MiniSet","自建 human study","公开 memorability 无法代表个人回忆，必须由用户/受试者选择和解释","CTAS 长期核心，不可被公开数据替代","local-design"
"31","组合结构","组合SOTA","T2I-CompBench++","TPAMI 2025 + GitHub","覆盖属性、关系、数量、空间等组合生成评估，并发布代码和人类评估对","第一批结构安全评估核心","https://github.com/Karine-Huang/T2I-CompBench"
"32","组合结构","对象评估SOTA","GenEval","arXiv 2310.11513 + GitHub","object-focused framework，评估 co-occurrence、position、count、color，代码公开","用于防止漂亮但对象/数量/颜色错误","https://arxiv.org/abs/2310.11513"
"33","组合结构","难度可控SOTA","ConceptMix","arXiv 2408.14339 + 项目页","自动生成可控 k 概念 prompts，用 VLM 问答评估概念是否出现","适合测多概念压力和 prompt diversity","https://princetonvisualai.github.io/conceptmix/"
"34","组合结构","推理SOTA","R2I-Bench","2025 项目页 + leaderboard","3,068 instances，7 大推理类、32 小类，R2I-Score 包含 alignment、reasoning accuracy、quality","适合测试因果/逻辑/常识推理型结构失败","https://r2i-bench.github.io/"
"35","组合结构","关系舞台SOTA候选","T2I-CoReBench","项目页","评估模型能否设置舞台但未必能导演关系和事件","作为结构推理扩展，二轮核验","https://t2i-corebench.github.io/"
"36","人类验证","人类对齐评估SOTA","DreamBench++ GPT-4o evaluator","ICLR 2025 项目页","用 GPT-4o 自动评估并验证与 human preference 更对齐","可借鉴 prompt-based VLM judge 但不能替代本课题人工记忆闭环","https://dreambenchplus.github.io/"
"37","人类验证","偏好数据SOTA","Pick-a-Pic / HPD v2 / ImageRewardDB","公开偏好数据和 benchmark","成对偏好最适合做 human-aligned preference baseline","用于美感/偏好，不用于个人记忆结论","https://arxiv.org/abs/2305.01569"
"38","人类验证","小样本盲评核心","PCA-B0 Human Mini Study","自建协议","直接问哪张更像记忆、哪张更美、哪些元素触发/破坏回忆","最终校准 CTAS 的必要环节","local-design"
"39","人类验证","解释性验证候选","VLM Judge + human audit","DreamBench++ / TIFA / VQAScore 思路","VLM 可提供结构化理由，但需人审计防止幻觉和偏见","用于减少标注成本，不替代人类选择","https://arxiv.org/abs/2303.11897"
"40","人类验证","失败集机制","Evaluator Failure Set","PCA-B0 自建协议","记录自动指标高但用户拒绝、用户喜欢但指标低的案例","这是研究发现来源，不是异常噪声","local-design"
