"序号","方向","论文","年份","核心贡献","可用代码","数据集","来源链接","对课题价值","保留/淘汰理由"
"25","时间/质量控制","Improving Sample Quality of Diffusion Models using Self-Attention Guidance","2022","用 self-attention 引导提高样本质量","社区实现","通用","https://arxiv.org/abs/2210.00939","后期质量增强参考","候选：需要验证对主体漂移影响"
"26","结构控制","Adding Conditional Control to Text-to-Image Diffusion Models","2023","ControlNet 给 diffusion 添加结构条件控制","官方代码","多条件数据","https://arxiv.org/abs/2302.05543","结构 gate 和 layout 控制核心","保留：第一批代码核心"
"27","结构控制","T2I-Adapter: Learning Adapters to Dig out More Controllable Ability for Text-to-Image Diffusion Models","2023","轻量 adapter 提供图像条件控制","官方代码","多条件数据","https://arxiv.org/abs/2302.08453","和 ControlNet 对照","保留：轻量结构控制"
"28","结构控制","GLIGEN: Open-Set Grounded Text-to-Image Generation","2023","通过 grounding boxes/phrases 生成可控对象","官方代码","grounding 数据","https://arxiv.org/abs/2301.07093","对象位置和关系控制","保留：结构 gate 候选"
"29","组合生成","Compositional Visual Generation with Composable Diffusion Models","2022","多个条件/概念组合生成","社区实现","组合 prompts","https://arxiv.org/abs/2206.01714","支持多潜变量组合假设","候选：理论相关"
"30","组合生成","MultiDiffusion: Fusing Diffusion Paths for Controlled Image Generation","2023","融合多个 diffusion 路径实现区域控制","官方代码","区域生成任务","https://arxiv.org/abs/2302.08113","多空间/多区域控制参考","候选：适合扩展实验"
"31","结构控制","BoxDiff: Text-to-Image Synthesis with Training-Free Box-Constrained Diffusion","2023","无训练 box 约束生成","社区实现","box prompts","https://arxiv.org/abs/2307.10816","轻量位置约束","候选：适合结构 gate"
"32","图像编辑","DiffEdit: Diffusion-based Semantic Image Editing with Mask Guidance","2022","自动 mask 引导语义编辑","官方/社区实现","图像编辑","https://arxiv.org/abs/2210.11427","主体区域保护和编辑区域分离","候选：用于 failure analysis"
"33","图像编辑","InstructPix2Pix: Learning to Follow Image Editing Instructions","2022","指令驱动图像编辑","官方代码","编辑指令数据","https://arxiv.org/abs/2211.09800","编辑式候选生成 baseline","候选：作为对照"
"34","时间/质量控制","FreeU: Free Lunch in Diffusion U-Net","2023","无需训练调节 U-Net 特征以提升质量","官方代码","通用","https://arxiv.org/abs/2309.11497","后期审美/质感增强候选","保留：适合无训练 ablation"
"35","时间/约束控制","FreeDoM: Training-Free Energy-Guided Conditional Diffusion Model","2023","用能量函数引导扩散满足条件","官方/社区实现","多条件任务","https://arxiv.org/abs/2303.09833","可将 gate/rank 写成能量约束","候选：理论强，工程需核验"
"36","大模型生成","Hierarchical Text-Conditional Image Generation with CLIP Latents","2022","DALL-E 2/unCLIP 用 CLIP latent 生成图像","无完全官方训练代码","通用","https://arxiv.org/abs/2204.06125","CLIP latent 与审美/语义空间参考","保留：背景"
"37","大模型生成","Imagen: Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding","2022","展示语言理解与 photorealistic diffusion 能力","无完整官方代码","DrawBench","https://arxiv.org/abs/2205.11487","复杂 prompt benchmark 来源","保留：评估背景"
"38","大模型生成","Scaling Autoregressive Models for Content-Rich Text-to-Image Generation","2022","Parti 和 PartiPrompts","无完整官方代码","PartiPrompts","https://arxiv.org/abs/2206.10789","prompt 宽池来源","保留：任务采样"
"39","大模型生成","eDiff-I: Text-to-Image Diffusion Models with Ensemble of Expert Denoisers","2022","不同 denoiser expert 负责不同噪声区间","无完整官方代码","通用","https://arxiv.org/abs/2211.01324","支持时间阶段分工假设","保留：CTAS 理论证据"
"40","大模型生成","Muse: Text-To-Image Generation via Masked Generative Transformers","2023","masked transformer 生成图像","无完整官方代码","通用","https://arxiv.org/abs/2301.00704","非 diffusion 对照","候选：related work"
"41","表征学习","Early Visual Concept Learning with Unsupervised Deep Learning","2016","β-VAE 相关工作，学习解耦视觉因素","社区实现","dSprites 等","https://arxiv.org/abs/1606.05579","潜空间分解理论起点","保留：理论基础"
"42","表征学习","InfoGAN: Interpretable Representation Learning by Information Maximizing Generative Adversarial Nets","2016","最大化潜变量与观测互信息以获得可解释因素","官方/社区实现","MNIST/SVHN/CelebA","https://arxiv.org/abs/1606.03657","支持可解释潜变量思想","保留：理论基础"
"43","表征学习","Disentangling by Factorising","2018","FactorVAE 用 total correlation 惩罚促进解耦","社区实现","dSprites/3D Shapes","https://arxiv.org/abs/1802.05983","说明独立性假设的代价","保留：理论基础"
"44","表征学习","DIP-VAE: Disentangled Inferred Prior VAE","2017","通过 inferred prior 匹配促进解耦","社区实现","dSprites 等","https://arxiv.org/abs/1711.00848","解耦潜空间参考","候选：理论 related"
"45","表征学习","Isolating Sources of Disentanglement in Variational Autoencoders","2018","β-TCVAE 分解 ELBO 研究 disentanglement 来源","官方/社区实现","dSprites 等","https://arxiv.org/abs/1802.04942","潜空间评估与控制参考","保留：理论 related"
"46","因果潜空间","CausalVAE: Structured Causal Disentanglement in Variational Autoencoder","2020","把语义因素建成因果图而非完全独立因素","官方/社区实现","因果合成数据/图像","https://arxiv.org/abs/2004.08697","直接支撑 CTAS 的因果潜空间押注","保留：核心理论"
"47","因果潜空间","Towards Causal Representation Learning","2021","综述从观测学习高层因果变量的挑战和路径","无","理论综述","https://arxiv.org/abs/2102.11107","解释为什么要从相关分数走向干预","保留：核心理论"
"48","因果学习","Elements of Causal Inference / Independent Causal Mechanisms","2012","独立因果机制思想","无","理论","https://arxiv.org/abs/1206.6471","支持不同机制可被独立干预但结果耦合","候选：理论背景"
"49","因果学习","Invariant Risk Minimization","2019","跨环境学习不变预测机制","官方/社区实现","Colored MNIST 等","https://arxiv.org/abs/1907.02893","主体不变量和环境变量分离参考","保留：理论 related"
"50","潜空间编辑","InterFaceGAN: Interpreting the Disentangled Face Representation Learned by GANs","2020","在 GAN latent 中寻找可解释编辑方向","官方代码","CelebA-HQ/FFHQ","https://arxiv.org/abs/2005.09635","为潜空间方向干预提供先例","候选：非 diffusion 但理论有用"
"51","潜空间编辑","GANSpace: Discovering Interpretable GAN Controls","2020","PCA 分解 GAN latent 得到可解释控制方向","官方代码","StyleGAN 数据","https://arxiv.org/abs/2004.02546","和 PCA-B0 名称/潜方向有概念连接","候选：理论启发"
"52","潜空间编辑","Closed-Form Factorization of Latent Semantics in GANs","2020","SeFa 无监督发现语义方向","官方代码","StyleGAN","https://arxiv.org/abs/2007.06600","低成本潜方向发现参考","候选：相关方法"
"53","潜空间编辑","StyleSpace Analysis: Disentangled Controls for StyleGAN Image Generation","2021","在 StyleSpace 中分析更局部的语义控制","官方/社区实现","StyleGAN","https://arxiv.org/abs/2011.12799","支持潜空间可分层不止一层","保留：理论证据"
"54","潜空间编辑","StyleCLIP: Text-Driven Manipulation of StyleGAN Imagery","2021","用 CLIP 引导 StyleGAN latent 编辑","官方代码","StyleGAN","https://arxiv.org/abs/2103.17249","CLIP 文本方向与视觉潜变量连接","候选：非 diffusion 对照"
"55","潜空间编辑","EditGAN: High-Precision Semantic Image Editing","2021","用分割和生成潜变量做精细编辑","官方/社区实现","StyleGAN/segmentation","https://arxiv.org/abs/2111.03186","编辑区域和主体保护参考","候选：failure analysis"
"56","潜空间编辑","Pivotal Tuning for Latent-based Editing of Real Images","2021","真实图像 inversion 后微调以保真编辑","官方代码","真实图像","https://arxiv.org/abs/2106.05744","真实参考图保真编辑背景","候选：相关"
"57","审美/质量","NIMA: Neural Image Assessment","2017","用神经网络预测人类图像美学/质量评分分布","官方/社区实现","AVA/TID2013","https://arxiv.org/abs/1709.05424","早期 aesthetic scorer","保留：审美指标历史"
"58","审美/质量","AVA: A Large-Scale Database for Aesthetic Visual Analysis","2012","大规模审美评分数据集","数据集/社区实现","AVA","https://ieeexplore.ieee.org/document/6247954","审美数据基础","保留：数据来源"
"59","审美/质量","Photo Aesthetics Ranking Network with Attributes and Content Adaptation","2016","AADB 相关属性审美建模","官方/社区实现","AADB","https://arxiv.org/abs/1606.01621","可解释美学属性参考","保留：审美解释"
"60","审美/质量","LAION-Aesthetics and aesthetic predictor","2022","用 CLIP aesthetic predictor 过滤大规模图像","官方代码/数据","LAION-Aesthetics","https://github.com/LAION-AI/laion-datasets/blob/main/laion-aesthetic.md","大规模审美 proxy","保留：数据来源"
"61","图文表征","Learning Transferable Visual Models From Natural Language Supervision","2021","CLIP 用图文对比学习统一 embedding","官方代码","WebImageText","https://arxiv.org/abs/2103.00020","subject/text/emotion proxy 基础","保留：基础工具"
"62","图文评估","CLIPScore: A Reference-free Evaluation Metric for Image Captioning","2021","用 CLIP 评估图文匹配","官方/社区实现","COCO 等","https://arxiv.org/abs/2104.08718","可作为 prompt alignment 辅助","候选：不能代替人类偏好"
"63","审美/偏好","Pick-a-Pic: An Open Dataset of User Preferences for Text-to-Image Generation","2023","收集真实用户对生成图的成对偏好，并训练 PickScore","官方代码/数据","Pick-a-Pic","https://arxiv.org/abs/2305.01569","preference-only baseline 核心","保留：第一批 ranker"
"64","审美/偏好","ImageReward: Learning and Evaluating Human Preferences for Text-to-Image Generation","2023","训练文本到图像人类偏好 reward model","官方代码/数据","ImageRewardDB","https://arxiv.org/abs/2304.05977","PCA-B0 既有计划中的 ranker","保留：第一批 ranker"
"65","审美/偏好","Human Preference Score v2","2023","HPD v2 大规模偏好数据和 HPS v2 score","官方代码/数据","HPD v2","https://arxiv.org/abs/2306.09341","通用人类偏好评估","保留：第一批 ranker"
"66","审美/偏好","Aligning Text-to-Image Diffusion Models with Reward Backpropagation","2023","AlignProp 用 reward 反传优化 diffusion","官方/社区实现","reward datasets","https://arxiv.org/abs/2310.03739","偏好优化方法参考","候选：第一阶段不训练可暂缓"
"67","审美/偏好","Training Diffusion Models with Reinforcement Learning","2023","DDPO 将 RL 用于 diffusion 优化","官方代码","reward prompts","https://arxiv.org/abs/2305.13301","长期 reward optimization 参考","候选：先不作为第一批实现"
"68","审美/偏好","Diffusion-DPO: Direct Preference Optimization for Text-to-Image Diffusion Models","2023","将 DPO 用于 diffusion 偏好对齐","官方/社区实现","偏好数据","https://arxiv.org/abs/2311.12908","偏好训练参考","候选：训练成本较高"
"69","情绪/记忆","ArtEmis: Affective Language for Visual Art","2021","艺术图像情绪标签和自然语言解释","官方代码/数据","ArtEmis","https://arxiv.org/abs/2101.07396","情绪和语言解释核心来源","保留：第一批 emotion 数据"
"70","情绪/记忆","EmoSet: A Large-scale Visual Emotion Dataset with Rich Attributes","2023","大规模视觉情绪数据和属性","项目/数据","EmoSet","https://arxiv.org/abs/2307.07961","情绪属性分解核心来源","保留：第一批 emotion 数据"
"71","情绪/记忆","EmotionCLIP: A Vision-Language Method for Zero-Shot Visual Emotion Recognition","2022","用视觉语言模型做零样本情绪识别","官方/社区实现","emotion datasets","https://github.com/ovshake/EmotionCLIP","emotion scorer 候选","保留：第一批 emotion scorer"
"72","情绪/记忆","Visual Sentiment Ontology","2013","用 adjective-noun pairs 连接视觉概念与情感","项目/数据","VSO","https://visual-sentiment-ontology.appspot.com/","情绪词和视觉线索映射","候选：可用于 prompt/emotion lexicon"
"73","情绪/记忆","Multilingual Visual Sentiment Ontology","2016","多语言视觉情感概念","项目/数据","MVSO","https://mcrlab.net/research/mvso/","中文/跨文化情绪词扩展","候选：文化记忆方向有用"
"74","情绪/记忆","Deep Emotion: A Deep Neural Network for Emotion Recognition in Images","2015","早期图像情绪识别模型","社区实现","emotion image datasets","https://dl.acm.org/doi/10.1145/2764918","情绪识别历史基线","候选：related work"
"75","情绪/记忆","AffectNet: A Database for Facial Expression, Valence, and Arousal","2017","大规模表情和 valence/arousal 数据","需申请","AffectNet","https://arxiv.org/abs/1708.03985","人脸情绪 proxy","候选：仅限人脸"
"76","情绪/记忆","What makes an image memorable?","2011","研究图像可记忆性的视觉因素","数据/社区","SUN Memorability","https://people.csail.mit.edu/torralba/publications/memorability_cvpr11.pdf","记忆性理论起点","保留：记忆方向基础"
"77","情绪/记忆","Understanding and Predicting Image Memorability at a Large Scale","2015","LaMem 大规模图像记忆性数据和预测","官方/社区实现","LaMem","https://people.csail.mit.edu/khosla/papers/iccv2015_khosla.pdf","memory proxy 核心来源","保留：第一批 memory 数据"
"78","情绪/记忆","MemNet: A Deep Model for Image Memorability","2015","深度模型预测图像可记忆性","官方/社区实现","LaMem","http://memorability.csail.mit.edu/","可作为 memory scorer","候选：环境可能较旧"
"79","情绪/记忆","THINGS: A database of 1,854 object concepts and 26,107 naturalistic object images","2019","系统化对象概念图像库，支持认知实验扩展","官方数据","THINGS","https://things-initiative.org/","对象概念与记忆/认知连接","保留：文化/记忆线索来源"
"80","情绪/记忆","OASIS: Open Affective Standardized Image Set","2017","标准化 valence/arousal 情绪图片集","官方数据","OASIS","https://www.benedekkurdi.com/#oasis","心理学情绪评估 proxy","候选：规模小但标签可靠"
"81","Benchmark","DiffusionDB: A Large-scale Prompt Gallery Dataset for Text-to-Image Generative Models","2022","公开大规模真实用户 prompt 和生成图","官方数据/代码","DiffusionDB","https://arxiv.org/abs/2210.14896","prompt 宽池和失败模式采样","保留：任务采样"
"82","Benchmark","T2I-CompBench: A Comprehensive Benchmark for Open-world Compositional Text-to-image Generation","2023","评估属性、关系、数量、空间等组合能力","官方代码","T2I-CompBench","https://arxiv.org/abs/2307.06350","结构 gate 和组合失败分析","保留：评估核心"
"83","Benchmark","GenEval: An Object-Focused Framework for Evaluating Text-to-Image Alignment","2023","对象存在、数量、颜色、位置等自动评估","官方代码","GenEval","https://arxiv.org/abs/2310.11513","对象结构 gate 候选","保留：评估核心"
"84","Benchmark","VBench: Comprehensive Benchmark Suite for Video Generative Models","2023","视频生成综合评估","官方代码","VBench","https://arxiv.org/abs/2311.17982","未来扩展到视频显示信号","候选：当前阶段暂不实现"
"85","Benchmark","EvalCrafter: Benchmarking and Evaluating Large Video Generation Models","2023","视频生成评估工具","官方代码","video benchmark","https://arxiv.org/abs/2310.11440","未来视频方向","暂存：当前图像阶段不用"
"86","Benchmark","Holistic Evaluation of Text-To-Image Models","2023","HEIM 多维度评估 T2I 模型","官方/框架实现","多 benchmark","https://arxiv.org/abs/2311.04287","学习评估组织方式","保留：写论文评估框架参考"
"87","Benchmark","TIFA: Accurate and Interpretable Text-to-Image Faithfulness Evaluation with Question Answering","2023","把 prompt 拆成问题，用 VQA 评估图文忠实度","官方/社区实现","TIFA benchmark","https://arxiv.org/abs/2303.11897","VLM judge 结构化评估参考","候选：可接入语义核对"
"88","Benchmark","VQAScore: Evaluating and Improving Vision-Language Generation with Visual Question Answering","2024","用 VQA 模型评估图文生成对齐","官方/社区实现","VQA prompts","https://arxiv.org/abs/2404.01291","VLM-based scoring 参考","候选：二轮核验"
"89","Benchmark","Winoground: Probing Vision and Language Models for Visio-Linguistic Compositionality","2022","测试视觉语言组合理解","官方数据","Winoground","https://arxiv.org/abs/2204.03162","组合理解 failure 参考","候选：不是生成评估主线"
"90","Benchmark","ARO: Measuring and Improving Compositionality in Vision-Language Models","2023","属性/关系/顺序组合评估","官方/社区实现","ARO","https://arxiv.org/abs/2306.03811","CLIP 类 subject/text scorer 的弱点分析","候选：scorer 风险分析"
"91","视觉基础","DINOv2: Learning Robust Visual Features without Supervision","2023","自监督视觉特征，适合相似度和检索","官方代码","大规模图像","https://arxiv.org/abs/2304.07193","subject visual similarity 补充","保留：subject gate 工具"
"92","视觉基础","Segment Anything","2023","通用图像分割 foundation model","官方代码","SA-1B","https://arxiv.org/abs/2304.02643","主体区域 mask 和 failure analysis","保留：辅助工具"
"93","视觉基础","Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection","2023","开放词汇检测与 grounding","官方代码","grounding 数据","https://arxiv.org/abs/2303.05499","对象 gate 和结构核对","保留：辅助工具"
"94","视觉基础","RelTR: Relation Transformer for Scene Graph Generation","2022","场景图关系检测","官方代码","Visual Genome","https://arxiv.org/abs/2201.11460","空间/关系 gate 候选","候选：复现难度需核验"
"95","视觉语言","BLIP: Bootstrapping Language-Image Pre-training","2022","统一 caption/VQA/retrieval 视觉语言预训练","官方代码","COCO/VG 等","https://arxiv.org/abs/2201.12086","VLM judge 和 caption check","保留：辅助工具"
"96","视觉语言","BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and LLMs","2023","轻量连接冻结视觉编码器和 LLM","官方代码","COCO/VG 等","https://arxiv.org/abs/2301.12597","VLM 辅助核对","保留：辅助工具"
"97","数据/文化","GeoDE: a Geographically Diverse Evaluation Dataset for Object Recognition","2023","地理多样对象数据","官方数据","GeoDE","https://arxiv.org/abs/2301.02560","文化语境和地域公平","候选：记忆/文化扩展"
"98","数据/文化","Dollar Street: Images as Data to Understand Global Living Conditions","2019","按收入和地理组织生活物件图片","官方数据","Dollar Street","https://www.gapminder.org/dollar-street","生活记忆和文化语境来源","保留：记忆线索数据"
"99","数据/文化","DIG-In: Evaluating Disparities in Image Generations with Indicators","2024","图像生成多样性/公平性评估","官方代码/数据","DIG-In","https://github.com/facebookresearch/DIG-In","文化偏差风险分析","候选：二轮核验"
"100","数据/关系","Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations","2016","对象、属性、关系密集标注","官方数据","Visual Genome","https://visualgenome.org/","结构关系评估数据源","保留：结构 gate 参考"
"101","数据/通用","Microsoft COCO: Common Objects in Context","2014","图像 caption/object/segmentation 通用数据","官方数据","MS COCO","https://cocodataset.org/","通用图文对齐和对象检测基线","候选：不代表美学/记忆"
"102","数据/人脸","Large-scale CelebFaces Attributes Dataset","2015","人脸属性和身份相关数据","官方数据","CelebA","https://mmlab.ie.cuhk.edu.hk/projects/CelebA.html","身份属性漂移分析","候选：仅限人脸"
"103","数据/人脸","VGGFace2: A Dataset for Recognising Faces across Pose and Age","2018","大规模身份跨姿态/年龄数据","官方数据","VGGFace2","https://www.robots.ox.ac.uk/~vgg/data/vgg_face2/","身份一致性 gate 候选","候选：许可和隐私需谨慎"
"104","数据/质量","Flickr-Faces-HQ Dataset","2019","高质量人脸图像数据","官方数据","FFHQ","https://github.com/NVlabs/ffhq-dataset","人脸质量/身份 proxy","候选：只做人脸对照"
"105","方法论","Human Evaluation of Text-to-Image Models / blind pairwise evaluation practice","2022-2024","用盲评和成对比较校准自动指标","多项目实践","Pick-a-Pic/HPD/ImageReward","https://arxiv.org/abs/2305.01569","PCA-B0 必须最终对齐人类选择","保留：人类小样本设计基础"
