"序号","方法","repo","依赖复杂度","是否可复现","输入输出","来源链接","可接入 PCA-B0 的模块位置","备注"
"24","CLIP","openai/CLIP","低中","高","image/text -> embeddings/similarity","https://github.com/openai/CLIP","subject_gate / emotion_zero_shot","可用于 subject/text/emotion 零样本 proxy"
"25","DINOv2","facebookresearch/dinov2","中","高","image -> visual features","https://github.com/facebookresearch/dinov2","subject_gate / perceptual_similarity","比 CLIP 更偏视觉结构，可补主体 gate"
"26","LPIPS","richzhang/PerceptualSimilarity","低","高","image pairs -> perceptual distance","https://github.com/richzhang/PerceptualSimilarity","subject_gate / perceptual_similarity","适合作为低层感知相似度辅助"
"27","EmotionCLIP","ovshake/EmotionCLIP","中","中","image/text -> emotion embedding/score","https://github.com/ovshake/EmotionCLIP","emotion_ranker","适合情绪激活 proxy"
"28","ArtEmis","optas/artemis","中","中","art image -> emotion/language model","https://github.com/optas/artemis","emotion_explanation","适合把情绪标签变成文字解释"
"29","EmoSet","EmoSet project","中","中","image -> emotion attribute classifier","https://vcc.tech/EmoSet","emotion_ranker","适合情绪属性分解"
"30","MemNet","MemNet/LaMem implementations","中","低中","image -> memorability score","http://memorability.csail.mit.edu/","memory_proxy","环境可能较旧，第一阶段可先记录或用替代模型"
"31","T2I-CompBench","Karine-Huang/T2I-CompBench","中","中","generated images + prompts -> compositional scores","https://github.com/Karine-Huang/T2I-CompBench","structure_eval","适合属性、关系、数量 gate"
"32","GenEval","djghosh13/geneval","中","中","prompt/image -> object-focused eval","https://github.com/djghosh13/geneval","structure_eval","适合对象存在、颜色、数量、位置"
"33","VBench","Vchitect/VBench","中高","中","videos/images depending setup -> benchmark scores","https://github.com/Vchitect/VBench","future_video_eval","当前图像阶段只作未来 video extension"
"34","HEIM","stanford-crfm/heim","中高","中","models/images -> holistic eval","https://github.com/stanford-crfm/helm/tree/main/src/helm/benchmark/presentation","evaluation_reference","适合学习评估组织方式，不一定直接跑"
"35","DiffusionDB","poloclub/diffusiondb","低中","高","prompt/image metadata -> prompt pool","https://github.com/poloclub/diffusiondb","task_sampler","适合真实用户 prompt 宽采样"
"36","LAION datasets","LAION-AI/laion-datasets","中高","中","webdataset metadata -> data subsets","https://github.com/LAION-AI/laion-datasets","data_collection","适合审美数据来源追踪，注意许可和过滤"
"37","Segment Anything","facebookresearch/segment-anything","中","高","image + prompt -> masks","https://github.com/facebookresearch/segment-anything","subject_masking / failure_analysis","可辅助主体区域比较"
"38","GroundingDINO","IDEA-Research/GroundingDINO","中","高","image + text -> grounded boxes","https://github.com/IDEA-Research/GroundingDINO","object_structure_gate","适合对象存在和位置检测"
"39","RelTR","yrcong/RelTR","中","中","image -> scene graph relations","https://github.com/yrcong/RelTR","relationship_gate","可辅助结构关系评估"
"40","BLIP-2","salesforce/LAVIS","中","高","image/text -> caption/VQA/features","https://github.com/salesforce/LAVIS","vlm_judge / caption_check","可做 VLM 式语义核对"
