"序号","数据集","任务层","标签类型","规模","许可","下载源","来源链接","是否适合训练","是否适合评估","备注"
"26","THINGS","对象/记忆认知","object images, behavioral/neural extensions","约 1854 concepts, 26k images","开放研究用途，需遵守条款","官方页","https://things-initiative.org/","可训练对象/记忆 proxy","是","适合把物体概念和记忆/认知实验连接"
"27","DiffusionDB","提示/生成候选","prompt, generated image, metadata","约 14M images","数据许可需核查","Hugging Face/GitHub","https://arxiv.org/abs/2210.14896","可训练 prompt prior","可评估 prompt 分布","真实用户 prompt 池，适合宽采样"
"28","PartiPrompts","提示/组合","text prompts, categories","约 1600 prompts","Google 研究开放","项目页","https://arxiv.org/abs/2206.10789","否","是","适合系统性 prompt 评估"
"29","DrawBench","提示/组合","challenging prompts","约 200 prompts","论文附录/项目许可需确认","论文","https://arxiv.org/abs/2205.11487","否","是","适合作为复杂生成能力对照"
"30","T2I-CompBench","组合对齐","attribute, relation, counting, spatial","公开 benchmark","GitHub 许可需确认","GitHub","https://github.com/Karine-Huang/T2I-CompBench","否","是","适合结构/组合 gate 补充"
"31","GenEval","对象组合","object-focused prompts, automated eval","公开 benchmark","GitHub 许可需确认","GitHub","https://github.com/djghosh13/geneval","否","是","适合 object/count/color/position 评估"
"32","MS COCO","图文对齐","image captions, objects","约 330k images","COCO 许可","官方页","https://cocodataset.org/","可训练 caption/alignment","是","通用图文对齐基线，不够贴近个性化主体"
"33","Visual Genome","关系/属性","objects, attributes, relationships","约 108k images","VG 许可","官方页","https://visualgenome.org/","可训练关系/结构 scorer","是","适合空间关系和对象属性评估"
"34","GeoDE","文化/地域公平","geographically diverse object images","公开数据","项目许可需确认","GitHub","https://github.com/viambl/geode","可训练公平性分析","是","适合避免记忆/文化只服务西方语境"
"35","Dollar Street","文化/生活语境","household objects by income/location","大规模 household images","Gapminder 条款","官方页","https://www.gapminder.org/dollar-street","可做语境参考","是","适合文化/生活记忆线索"
"36","DIG-In","多样性/地理","diverse images, geo/culture benchmark","公开项目","项目许可需确认","GitHub","https://github.com/facebookresearch/DIG-In","可做公平性分析","是","适合文化偏差与地域语境评估"
